trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,7,-29.50946282364219,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,10,16.386674154892503,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,6,-8.6364174395151,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",30,12,-21.691565973093848,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,0,27.259046187075036,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,0,-18.16958091485248,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,8,-39.08928413512143,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",30,18,23.416267836991235,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,1,3.8457222251885987,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",25,17,-26.478519703534797,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,19,13.677067268519423,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,15,9.589374650329143,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",30,13,14.3357331010952,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",25,15,17.949180882673655,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,0,-22.630990010050308,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",30,19,21.315586315295917,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,0,22.441267421028563,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",20,0,21.90317021176599,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",25,2,32.59263853948666,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",25,18,11.512705512428614,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",30,21,15.834736418052966,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,9,18.286725030792642,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
